id_car2,C,12;id_commune,C,10;id_ins_1,C,10;id_epci
00135-09424;00135;0000-0382;000000000
00135-09425;00135;0000-0382;000000000
00135-09426;00135;0000-0382;000000000
00135-09427;00135;0000-0382;000000000
00135-09428;00135;0000-0383;000000000
00135-09429;00135;0000-0383;000000000
00135-09430;00135;0000-0383;000000000
00135-09431;00135;0000-0383;000000000
00135-09432;00135;0000-0383;000000000
00135-09433;00135;0000-0384;000000000
00296-01176;00296;0000-0042;000000000
00296-01177;00296;0000-0042;000000000
00296-01178;00296;0000-0042;000000000
00296-01179;00296;0000-0042;000000000
00296-01180;00296;0000-0043;000000000
00296-01181;00296;0000-0043;000000000
00296-01182;00296;0000-0043;000000000
00284-09484;00284;0000-0370;000000000
00284-09485;00284;0000-0370;000000000
00284-09486;00284;0000-0370;000000000
00284-09487;00284;0000-0370;000000000
00284-09488;00284;0000-0370;000000000
00284-09489;00284;0000-0371;000000000
00284-09490;00284;0000-0371;000000000
00284-09491;00284;0000-0371;000000000
00284-09492;00284;0000-0371;000000000
00284-09493;00284;0000-0371;000000000
00284-09494;00284;0000-0372;000000000
00284-09495;00284;0000-0372;000000000
00284-09496;00284;0000-0372;000000000
00284-09497;00284;0000-0372;000000000
00284-09498;00284;0000-0372;000000000
00284-09499;00284;0000-0373;000000000
00284-09500;00284;0000-0373;000000000
00284-09501;00284;0000-0373;000000000
00165-09502;00165;0000-0373;000000000
00165-09503;00165;0000-0373;000000000
00165-09504;00165;0000-0374;000000000
00165-09505;00165;0000-0374;000000000
00165-09506;00165;0000-0374;000000000
00165-09507;00165;0000-0374;000000000
00165-09508;00165;0000-0374;000000000
00165-09509;00165;0000-0375;000000000
00165-09510;00165;0000-0375;000000000
00165-09511;00165;0000-0375;000000000
00165-09512;00165;0000-0375;000000000
00135-09513;00135;0000-0375;000000000
00135-09514;00135;0000-0376;000000000
00135-09515;00135;0000-0376;000000000
00135-09516;00135;0000-0376;000000000
00135-09517;00135;0000-0376;000000000
00135-09518;00135;0000-0376;000000000
00135-09519;00135;0000-0377;000000000
00135-09520;00135;0000-0377;000000000
00135-09521;00135;0000-0377;000000000
00135-09522;00135;0000-0377;000000000
00135-09523;00135;0000-0377;000000000
00135-09524;00135;0000-0378;000000000
00135-09525;00135;0000-0378;000000000
